name;typeSkill;group;speciality;level;timeCasting;timeReloading;image;description;caractsUse;caractsTarget;effect;effect0;effect1;effect2;effect3
Marque sanguine;SORT_DIVERS;Assassin;;1;0;0;;Marque la cible ennemie. Si celle-ci meurt dans les 2 prochains tours, vous récupérez de la vitalité. En revanche, si la cible survit, c'est elle qui se soigne complètement.;POU;;;;;;
Repli stratégique;SORT_DIVERS;Assassin;;1;0;0;;Réaliser un bond surnaturel dans une direction.;POU;;;;;;
Écran de fumée;SORT_DIVERS;Assassin;;1;0;0;;Crée tout autour de vous un nuage de fumée qui vous dissimule.;POU;;;;;;
Clouage;COMP_SPE;;Chasseur;1;0;0;;Inflige des dégâts physiques et Handicap à la cible.;HAB;VIG, HAB;;;;;
Premiers secours;COMP_SPE;;Chasseur;1;0;0;;Peut rendre des PV à la cible. Une fois possible par blessure. Supprime Handicap, Renversement, Cécité, Silence, Hémorragie, Brûlure, Empoisonnement et Maladie.;INT;;;;;;
Ricochet;COMP_SPE;;Chasseur;1;0;0;;Tire une flèche normale qui inflige des dégâts puis bifurque vers sa prochaine cible un maximum de 2 fois.;HAB;VIG, HAB;;;;;
Tir dans le ciel;COMP_SPE;;Chasseur;1;0;0;;Vous sautez dans les airs avant de tirer, ce qui vous permet de bénéficier d'un bonus aux dégâts.;HAB;VIG, HAB;;;;;
Volée de flèches;SORT_OFF;;Chasseur;1;0;0;;15 flèches s'abattent sur la zone ciblée;POU;VIG, HAB;;;;;
Bras de Morphée;SORT_OFF;;LameOmbre;1;0;0;;Cause des dégâts physiques et inflige Atrophie : votre cible ne peut plus utiliser d'armes ni de compétences liées à celles-ci.;POU;;;;;;
Lame corrompue;SORT_OFF;;LameOmbre;1;0;0;;Coup de dague causant des dégâts physiques et infligeant Putréfaction et Maladie.;POU;;;;;;
Cruauté terrifiante;COMP_SPE;;LameOmbre;1;0;0;;Coup de dague causant des dégâts et infligeant Hémorragie et Terreur à la victime.;HAB;VIG, HAB;;;;;
Eventail de poignards;COMP_SPE;;LameOmbre;1;0;0;;Vous lancez une dague sur chaque ennemi autour de vous, ce qui leur inflige des dégâts physiques.;HAB;VIG, HAB;;;;;
Au coeur de la mêlée;COMP_SPE;Bretteur;;1;0;0;;Vous gagnez un bonus d’attaque si un allié est proche. Plus on est de fous, plus on rit !;;;;;;;
Assaut;COMP_SPE;Bretteur;;1;0;0;;Vous attaquez à 4 reprises avec une rapidité stupéfiante, chacun de vos coups infligeant des dégâts physiques.;VIG, HAB;VIG, HAB;;;;;
Echauffement;SORT_DIVERS;Bretteur;;1;0;0;;Le Berserker permet de booster temporairement la Vigueur et la compétence Combat. La Vigueur peut surpasser les limites du corps, soit 5... mais perdra alors 1 PV à la fin du Berserker. Si la Vigueur atteint ou surpasse 5, alors qu'avant il était plus bas... le lanceur gagne automatiquement 1 PV max en plus durant le Berserker. (Ce PV pris est temporaire, dû à la résistance physique d'une Vigueur à 5, et ne compte pas comme contrecoup).;POU;;;;;;
Attaque éclair;COMP_SPE;;DanseurSabre;1;0;0;;Passe d'une cible à l'autre en touchant jusqu'à 2 cibles et inflige des dégâts physiques à chacune d'elles.;HAB;VIG, HAB;;;;;
Restauration;SORT_DEF;Druide;;1;0;0;;Rend de la vitalité au personnage ciblé. Restauration supprime également Empoisonnement et Hémorragie.;POU;;;;;;
Ailes déployées;SORT_DIVERS;Druide;;1;0;0;;Vous fait pousser des ailes temporaires, qui vous permettent de vous déplacer en volant et d'ignorer les surfaces de sol en évitant de poser le pied par terre.;POU;;;;;;
Tête de méduse;SORT_DIVERS;Druide;;1;0;0;;Des serpents sortent de votre tête, ce qui vous confère une aura pétrifiante, ainsi que la compétence Visage pétrifiant;POU;;;;;;
Greffe de peau;SORT_DIVERS;Druide;;1;0;0;;Réinitialise tous les temps de récupération. Fait disparaître Brûlure, Nécroflammes, Empoisonnement et Hémorragie.;POU;;;;;;
Tissage de toile;SORT_DIVERS;Druide;;1;0;0;;Crée des surfaces de toiles dans la zone d'effet, ce qui inflige Enchevêtrement à tous les personnages.;POU;;;;;;
Trans. Animal;SORT_DIVERS;Druide;;1;0;0;;La transformation en loup permet de devenir un loup avec le pelage que l'on souhaite.;POU;;;;;;
Âme soeur;SORT_DIVERS;;Chaman;1;0;0;;Vous lie à la cible, ce qui vous permet de lui faire également profiter des effets de soins et de récupération d'armure dont vous bénéficiez. Supprime Gel, Etourdissement, Renversement et Pétrification sur la cible.;POU;;;;;;
Vision spirituelle;SORT_DIVERS;;Chaman;1;0;0;;Vos yeux percent le voile du Hall aux Echos.;POU;;;;;;
Explosion de nombreux cadavres;SORT_DIVERS;;Chaman;1;0;0;;Fait exploser tous les cadavres autour de vous, ce qui inflige des dégâts physiques dans toute la zone.;POU;;;;;;
Savoir des morts;SORT_DIVERS;;Chaman;1;0;0;;Le savoir des morts permet d'accueillir les informations d'une âme à proximité de son corps (ou d'une partie de son corps).;POU;;;;;;
Larmes de guérison;SORT_DIVERS;;Guerisseur;1;0;0;;La terre elle-même se lamente de votre sort, ce qui crée des larmes guérisseuses soignant tous les alliés suffisamment proches de vous. ;POU;;;;;;
Hâte;SORT_DEF;Enchanteur;;1;0;0;;Augmente sa vitesse de déplacement. Supprime Lenteur et Handicap.;POU;;;;;;
Evitement surnaturel;SORT_DEF;Enchanteur;;1;0;0;;L'esquive de la cible augmente de façon importante.;POU;;;;;;
Permutation du vide;SORT_DIVERS;Enchanteur;;1;0;0;;Echange les places de deux personnages. Vous pouvez être l'un d'eux.;POU;;;;;;
Téléportation;SORT_DIVERS;Enchanteur;;1;0;0;;Téléporte un objet ou un personnage à l'endroit de votre choix.;POU;;;;;;
Fortification;SORT_DEF;Enchanteur;;1;0;0;;Confère un bonus défensif. Supprime les effets d'Empoisonnement, d'Hémorragie, de Brûlure et de Putréfaction.;POU;;;;;;
Echantement aléatoire;SORT_DIVERS;Enchanteur;;1;0;0;;L'enchantement des plumes leur donne un effet au contact de la peau de la cible. Il suffit d'un contact plume-peau, sans forcément lancer / détacher ses plumes. L'enchantement ne fonctionne que pour un seul contact, et peut s'enlever si voulu.;POU;;;;;;
Portail entre les plans;SORT_DIVERS;;Illusionniste;1;0;0;;Fait apparaître deux portails liés permettant à n'importe quel personnage de passer de l'un à l'autre un maximum de 4 fois.;POU;;;;;;
Manteau de caméléon;SORT_DIVERS;;Illusionniste;1;0;0;;Vous confère le pouvoir de fusionner avec l'environnement, quel qu'il soit, afin de devenir invisible.;POU;;;;;;
Hallucinations auditives;SORT_DIVERS;;Illusionniste;1;0;0;;Les hallucinations auditives utilise le sens de l'ouie de ses cibles pendant un certain temps. La qualité du son est forcément nette, bien réussie.;POU;;;;;;
Regard intimidant;SORT_OFF;;Envouteur;1;0;0;;Réduit les ennemis au silence dans un cône devant vous;POU;INT;;;;;
Domination mentale;SORT_DIVERS;;Envouteur;1;0;0;;Charme l'ennemi pris pour cible, ce qui l'oblige à combattre à vos côtés pendant toute la durée de l'effet.;POU;;;;;;
Barrière de détournement;SORT_DEF;Gardien;;1;0;0;;Les projectiles qui vous touchent sont renvoyés vers ceux qui les ont lancés. Cela n'empêche toutefois pas ces projectiles d'avoir leur effet normal.;POU;;;;;;
