name;typeSkill;group;speciality;level;timeCasting;timeReloading;image;description;caractsUse;caractsTarget;effect;effect0;effect1;effect2;effect3
Marque sanguine;UTILE;Assassin;;1;0;0;;Marque la cible ennemie. Si celle-ci meurt dans les 2 prochains tours, vous récupérez de la vitalité. En revanche, si la cible survit, c'est elle qui se soigne complètement.;POU;;;;;;
Repli stratégique;UTILE;Assassin;;1;0;0;;Réaliser un bond surnaturel dans une direction.;POU;;;;;;
Écran de fumée;UTILE;Assassin;;1;0;0;;Crée tout autour de vous un nuage de fumée qui vous dissimule.;POU;;;;;;
Clouage;UTILE;;Chasseur;1;0;0;;Inflige des dégâts physiques et Handicap à la cible.;HAB;VIG, HAB;;;;;
Premiers secours;UTILE;;Chasseur;1;0;0;;Peut rendre des PV à la cible. Une fois possible par blessure. Supprime Handicap, Renversement, Cécité, Silence, Hémorragie, Brûlure, Empoisonnement et Maladie.;INT;;;;;;
Ricochet;UTILE;;Chasseur;1;0;0;;Tire une flèche normale qui inflige des dégâts puis bifurque vers sa prochaine cible un maximum de 2 fois.;HAB;VIG, HAB;;;;;
Tir dans le ciel;UTILE;;Chasseur;1;0;0;;Vous sautez dans les airs avant de tirer, ce qui vous permet de bénéficier d'un bonus aux dégâts.;HAB;VIG, HAB;;;;;
Volée de flèches;UTILE;;Chasseur;1;0;0;;15 flèches s'abattent sur la zone ciblée;POU;VIG, HAB;;;;;
Bras de Morphée;UTILE;;LameOmbre;1;0;0;;Cause des dégâts physiques et inflige Atrophie : votre cible ne peut plus utiliser d'armes ni de compétences liées à celles-ci.;POU;;;;;;
Lame corrompue;UTILE;;LameOmbre;1;0;0;;Coup de dague causant des dégâts physiques et infligeant Putréfaction et Maladie.;POU;;;;;;
Cruauté terrifiante;UTILE;;LameOmbre;1;0;0;;Coup de dague causant des dégâts et infligeant Hémorragie et Terreur à la victime.;HAB;VIG, HAB;;;;;
Eventail de poignards;UTILE;;LameOmbre;1;0;0;;Vous lancez une dague sur chaque ennemi autour de vous, ce qui leur inflige des dégâts physiques.;HAB;VIG, HAB;;;;;
Grâce féline;UTILE;Assassin;;1;0;0;;Confère +4 en Dex pendant 1 minute/niveau. ;POU;;;;;;
Invisibilité suprême ;UTILE;Assassin;;1;0;0;;Comme invisibilité, mais continue quand le sujet attaque. ;POU;;;;;;
Accord paralysant;UTILE;Assassin;;1;0;0;; Immobilise un humanoïde pour 1 round/niveau. ;POU;;;;;;
Invisibilité  ;UTILE;Assassin;;1;0;0;;Sujet invisible pendant 1 minute/niveau ou jusqu’à ce qu’il attaque. ;POU;;;;;;
Mise à mort;UTILE;Assassin;;1;0;0;;"Achève une créature mourante ; le PJ gagne temporairement 1d8 pv, +2 en Force et +1 niveau .";POU;;;;;;
Détection des passages secrets ;UTILE;Assassin;;1;0;0;;Révèle les passages secrets à 18 m ou moins. ;POU;;;;;;
Collet;UTILE;;Chasseur;1;0;0;;Crée un piège magique tout simple.;POU;;;;;;
Détection des collets et des fosses ;UTILE;;Chasseur;1;0;0;;Détecte pièges naturels ou primitifs.;POU;;;;;;
