name;typeSkill;group;speciality;level;timeCasting;timeReloading;image;description;caractsUse;caractsTarget;effect;effect0;effect1;effect2;effect3
Berceuse ;UTILE;Barde;;1;0;0;;"Rend les sujets somnolents ; –5 aux tests de Détection et de Perception auditive, –2 aux jets de Volonté contre sommeil. ";POU;;;;;;
Convocation d’instrument ;UTILE;Barde;;1;0;0;;convoque un instrument de musique au choix. ;POU;;;;;;
Détection de la magie ;UTILE;Barde;;1;0;0;;Détecte sorts et objets magiques à 18 m à la ronde ;POU;;;;;;
Hébétement ;UTILE;Barde;;1;0;0;;Fait perdre 1 action à un humanoïde de 4 DV ou moins. ;POU;;;;;;
Lumières dansantes ;UTILE;Barde;;1;0;0;;Crée torches ou autres lueurs. ;POU;;;;;;
Manipulation à distance ;UTILE;Barde;;1;0;0;;Télékinésie limitée ;POU;;;;;;
Message porté;UTILE;Barde;;1;0;0;;Conversation chuchotée à distance. ;POU;;;;;;
Son imaginaire ;UTILE;Barde;;1;0;0;;Sons illusoires. ;POU;;;;;;
Compréhension des langages ;UTILE;Barde;;1;0;0;;Le PJ comprend tous les langages écrits ou parlés. ;POU;;;;;;
Déguisement ;UTILE;Barde;;1;0;0;;Modifie l’apparence vestimentaire du PJ. ;POU;;;;;;
Détection des passages secrets ;UTILE;Barde;;1;0;0;;Révèle les passages secrets à 18 m ou moins. ;POU;;;;;;
Don des langues ;UTILE;Barde;;1;0;0;;Permet de parler toutes les langues. ;POU;;;;;;
Silence ;UTILE;Barde;;1;0;0;;Étouffe tout bruit dans un rayon de 4,50 m. ;POU;;;;;;
Sphère d’invisibilité ;UTILE;Barde;;1;0;0;;Rend tout le monde invisible à 3 m à la ronde. ;POU;;;;;;
Terrain hallucinatoire ;UTILE;Barde;;1;0;0;;Transforme un type de terrain en un autre ;POU;;;;;;
Bagou  ;UTILE;Barde;;1;0;0;;"Confère +30 aux tests de Bluff ; résiste aux divinations censées détecter les mensonges. ";POU;;;;;;
Chaînes de douleur;UTILE;;Banshee;1;0;0;;Marque une cible de façon à ce qu'elle subisse tous les dégâts qui vous sont infligés. Les dégâts transférés de la sorte ignorent toutes les résistances dont la cible pourrait bénéficier.;POU;POU;;;;;
Suggestion ;UTILE;;Banshee;1;0;0;;Force la cible à accomplir un acte décidé par le PJ. ;POU;;;;;;
Frayeur ;UTILE;;Banshee;1;0;0;;Une créature de 5 DV ou moins s’enfuit pendant 1d4 rounds. ;POU;;;;;;
Cacophonie ;UTILE;;Banshee;1;0;0;;Inflige 1d8 points de dégâts de son, étourdissement possible. ;POU;;;;;;
Ténèbres ;UTILE;;Banshee;1;0;0;;Obscurité surnaturelle sur 6 m de rayon. ;POU;;;;;;
Cauchemar ;UTILE;;Banshee;1;0;0;;Envoie des visions causant fatigue et perte de 1d10 pv. ;POU;;;;;;
Chant de discorde ;UTILE;;Banshee;1;0;0;;Force les cibles à s’entretuer. ;POU;;;;;;
Analyse d’enchantement ;UTILE;;Banshee;1;0;0;;Révèle les aspects magiques de la cible. ;POU;;;;;;
Cri suprême ;UTILE;;Banshee;1;0;0;;"Cri dévastateur infligeant 10d6 points de dégâts de son ; étourdit les créatures, abîme les objets. ";POU;;;;;;
Zone d’antimagie ;UTILE;;Banshee;1;0;0;;Réprime toute magie à moins de 3 m. ;POU;;;;;;
Hypnose ;UTILE;;Virtuose;1;0;0;;Fascine 2d4 DV de créatures. ;POU;;;;;;
Regain d’assurance ;UTILE;;Virtuose;1;0;0;;Supprime la terreur ou donne +4 aux jets de sauvegarde contre celle-ci ;POU;;;;;;
Sommeil  ;UTILE;;Virtuose;1;0;0;; Endort 4 DV de créatures. ;POU;;;;;;
Apaisement des émotions ;UTILE;;Virtuose;1;0;0;;Calme les créatures agitées. ;POU;;;;;;
Illumination ;UTILE;;Virtuose;1;0;0;;Éblouit 1 créature ;POU;;;;;;
Danse irrésistible ;UTILE;;Virtuose;1;0;0;;Force le sujet à danser. ;POU;;;;;;
