name;typeSkill;group;speciality;level;timeCasting;timeReloading;image;description;caractsUse;caractsTarget;effect;effect0;effect1;effect2;effect3
Restauration;UTILE;Druide;;1;0;0;;Rend de la vitalité au personnage ciblé. Restauration supprime également Empoisonnement et Hémorragie.;POU;;;;;;
Ailes déployées;UTILE;Druide;;1;0;0;;Vous fait pousser des ailes temporaires, qui vous permettent de vous déplacer en volant et d'ignorer les surfaces de sol en évitant de poser le pied par terre.;POU;;;;;;
Tête de méduse;UTILE;Druide;;1;0;0;;Des serpents sortent de votre tête, ce qui vous confère une aura pétrifiante, ainsi que la compétence Visage pétrifiant;POU;;;;;;
Greffe de peau;UTILE;Druide;;1;0;0;;Réinitialise tous les temps de récupération. Fait disparaître Brûlure, Nécroflammes, Empoisonnement et Hémorragie.;POU;;;;;;
Tissage de toile;UTILE;Druide;;1;0;0;;Crée des surfaces de toiles dans la zone d'effet, ce qui inflige Enchevêtrement à tous les personnages.;POU;;;;;;
Trans. Animal;UTILE;Druide;;1;0;0;;La transformation en loup permet de devenir un loup avec le pelage que l'on souhaite.;POU;;;;;;
Contrôle des plantes ;UTILE;Druide;;1;0;0;;Permet de contrôler une ou plusieurs créatures végétales.. ;POU;;;;;;
Peau d’écorce ;UTILE;Druide;;1;0;0;;Confère un bonus d’armure naturelle de +2 (ou plus). ;POU;;;;;;
Passage sans traces ;UTILE;Druide;;1;0;0;;Les sujets (1/niveau) ne laissent pas de traces. ;POU;;;;;;
Enchevêtrement ;UTILE;Druide;;1;0;0;;La végétation immobilise tout dans un rayon de 12 m. ;POU;;;;;;
Distorsion du bois ;UTILE;Druide;;1;0;0;;Tord le bois (manche d’arme, planche, porte, etc.). ;POU;;;;;;
Forme d’arbre ;UTILE;Druide;;1;0;0;;Transforme le PJ en arbre pendant 1 heure/niveau. ;POU;;;;;;
Brume de dissimulation ;UTILE;Druide;;1;0;0;;Le PJ est entouré de brouillard. ;POU;;;;;;
Respiration aquatique ;UTILE;Druide;;1;0;0;;Permet de respirer sous l’eau. ;POU;;;;;;
Croissance végétale ;UTILE;Druide;;1;0;0;;Fait pousser la végétation, améliore son rendement. ;POU;;;;;;
Communication avec les plantes ;UTILE;Druide;;1;0;0;;Permet de communiquer avec les plantes et les créatures végétales. ;POU;;;;;;
