name;typeSkill;group;speciality;level;timeCasting;timeReloading;image;description;caractsUse;caractsTarget;effect;effect0;effect1;effect2;effect3
Barrière de détournement;UTILE;Gardien;;1;0;0;;Les projectiles qui vous touchent sont renvoyés vers ceux qui les ont lancés. Cela n'empêche toutefois pas ces projectiles d'avoir leur effet normal.;POU;;;;;;
Provocation;UTILE;Gardien;;1;0;0;;Provoque les ennemis tout autour de vous. Narguez-les pour qu'ils vous attaquent.;POU;POU;;;;;
Champ de force;UTILE;Gardien;;1;0;0;;Le Champ de force permet de créer une couche protectrice sur la cible. Un lien visible se crée entre le lanceur et la cible.;POU;;;;;;
Coup handicapant;UTILE;;Chevalier;1;0;0;;Estropie la cible et tous les autres personnages proches à l'aide d'un grand balayage.;VIG;VIG, HAB;;;;;
Tourbillon;UTILE;;Chevalier;1;0;0;;Effectuez une attaque tourbillonnante, qui inflige des dégâts physiques aux ennemis autour de vous.;VIG;VIG, HAB;;;;;
La totale;UTILE;;Chevalier;1;0;0;;Exécute une terrible attaque infligeant des dégâts physiques.;POU;;;;;;
Ange gardien;UTILE;;Paladin;1;0;0;;Les dégâts subis par vos alliés à portée de corps à corps sont redirigés vers vous.;POU;;;;;;
Cri de ralliement;UTILE;;Paladin;1;0;0;;La cible récupère de la vitalité et de l'armure magique en fonction du nombre d'alliés et de totems à proximité.;POU;;;;;;
Rejet du Chaos;UTILE;;Paladin;1;0;0;; +4 à la CA contre les attaques des créatures chaotiques.;POU;;;;;;
Rejet du Mal;UTILE;;Paladin;1;0;0;;+4 à la CA contre les attaques des créatures mauvaises.;POU;;;;;;
Puissance divine;UTILE;;Paladin;1;0;0;;Bonus à l’attaque, +6 en For et +1 pv/niveau.;POU;;;;;;
Délivrance de la paralysie;UTILE;;Paladin;1;0;0;;Délivre de la paralysie, d’immobilisation et de lenteur.;POU;;;;;;
Épée sainte;UTILE;;Paladin;1;0;0;;L’arme devient +5 et inflige +2d6 points de dégâts contre le Mal.;POU;;;;;;
Protection d’autrui;UTILE;;Paladin;1;0;0;;Le PJ subit 1/2 dégâts à la place du sujet.;POU;;;;;;
Annulation d’enchantement;UTILE;;Paladin;1;0;0;;Libère la cible des enchantements, des altérations, des malédictions et de la pétrification.;POU;;;;;;
Immunité contre les sorts;UTILE;;Paladin;1;0;0;;Immunise le sujet contre 1 sort/4 niveaux.;POU;;;;;;
Manteau du Chaos ;UTILE;Gardien;;1;0;0;;+4 à la CA, bonus de résistance de +4 et RM de 25 contre les sorts de la Loi. ;POU;;;;;;
Discours captivant;UTILE;Gardien;;1;0;0;;Captive à 30 m (+ 3 m/niveau) à la ronde.;POU;;;;;;
