name;typeSkill;group;speciality;level;timeCasting;timeReloading;image;description;caractsUse;caractsTarget;effect;effect0;effect1;effect2;effect3
Supernova;SORT_OFF;;Elementaliste;1;0;0;;Explose en créant des surfaces de feu et en infligeant des dégâts de feu dans une large zone tout autour de vous.;POU;VIG;;;;;
Fouet de feu;SORT_OFF;;Elementaliste;1;0;0;;Attaque à longue portée causant des dégâts de feu à une cible unique, tout en lui infligeant Cécité et Brûlure.;POU;VIG;;;;;
Boule de feu;SORT_OFF;;Elementaliste;1;0;0;;Lance une sphère enflammée qui explose et inflige des dégâts de feu.;POU;VIG;;;;;
Pluie;SORT_DIVERS;;Elementaliste;1;0;0;;Crée une surface d'eau qui s'étend et éteint les flammes. Inflige l'état Humidité aux personnages présents dans la zone.;POU;;;;;;
Armure de givre;SORT_DEF;;Elementaliste;1;0;0;;La glace forme une barrière autour de la cible, ce qui lui confère un bonus défensif. Fait disparaître Brûlure, Empoisonnement, Etourdissement, Gel, Suffocation et Pétrification.;POU;;;;;;
Refroidissement climatique;SORT_OFF;;Elementaliste;1;0;0;;Inflige Coup de froid aux ennemis autour de vous, qui subissent des dégâts d'eau. Gèle toutes les surfaces vulnérables.;POU;VIG;;;;;
Stase cryogénique;SORT_DEF;;Elementaliste;1;0;0;;La cible alliée se retrouve cryogénisée, ce qui la rend incapable d'agir mais l'immunise contre tous les dégâts et la soigne sur la durée.;POU;;;;;;
Blizzard;SORT_OFF;;Elementaliste;1;0;0;;20 éclats de glace tombent du ciel. Chacun d'entre eux inflige des dégâts d'eau aux personnages qui se trouvent dans un rayon de 15m autour de la zone d'impact.;POU;VIG, HAB;;;;;
Décharge électrique;SORT_OFF;;Elementaliste;1;0;0;;Projette une décharge électrique infligeant des dégâts d'air à la cible. Inflige Etat de choc. ;POU;VIG;;;;;
Toucher électrique;SORT_OFF;;Elementaliste;1;0;0;;Inflige Etat de choc à une cible se trouvant à portée de main et lui cause des dégâts d'air.;POU;VIG;;;;;
Eclair hébétant;SORT_OFF;;Elementaliste;1;0;0;;La foudre tombe du ciel, causant des dégâts d'air à tous les personnages pris dans la zone d'effet et leur infligeant Etat de choc.;POU;VIG;;;;;
Tornade;SORT_DIVERS;;Elementaliste;1;0;0;;Une tornade traverse aléatoirement le champ de bataille, supprimant les surfaces et révélant les personnages invisibles. Fait également disparaître Invisibilité, Brûlure et Lenteur.;POU;;;;;;
Superconducteur;SORT_OFF;;Elementaliste;1;0;0;;Lance de longues étincelles sur tous les ennemis présents dans la zone d'effet, ce qui leur cause des dégâts d'air et leur inflige Etat de choc.;POU;VIG;;;;;
Electrocution en chaîne;SORT_OFF;;Elementaliste;1;0;0;;Tire un éclair étourdissant qui se divise à l'impact un maximum de 8 fois dans un rayon de 8m et inflige des dégâts d'air à chaque cible.;POU;VIG;;;;;
Orage;SORT_OFF;;Elementaliste;1;0;0;;Une tempête fait rage dans la zone d'effet, et elle projette des éclairs sur les ennemis, chacun d'entre eux infligeant des dégâts d'air.;POU;VIG, HAB;;;;;
Empalement;SORT_OFF;;Elementaliste;1;0;0;;Des pieux empalent tous les personnages et objets, leur infligeant Handicap et des dégâts de terre;POU;VIG;;;;;
Tremblement de terre;SORT_OFF;;Elementaliste;1;0;0;;Inflige des dégâts de terre et Renversement aux personnages ennemis et aux objets autour de vous. ;POU;VIG;;;;;
Eruption pyroclastique;SORT_OFF;;Elementaliste;1;0;0;;Plusieurs rochers pleins de pétrole explosent en direction de tous les ennemis dans la zone d'effet;POU;VIG, HAB;;;;;
Appel de la tempête ;SORT_DIVERS;;Elementaliste;1;0;0;;mais 5d6 points de dégâts par éclair. ;POU;;;;;;
Appel de la foudre ;SORT_DIVERS;;Elementaliste;1;0;0;;Appelle la foudre (3d6 points de dégâts par éclair). ;POU;;;;;;
Tempête de neige ;SORT_DIVERS;;Elementaliste;1;0;0;;Réduit la visibilité et gêne les déplacements. ;POU;;;;;;
Lueurs hypnotiques ;SORT_DIVERS;Sorcier;;1;0;0;;Fascine (2d4 + niveau) DV de créatures. ;POU;;;;;;
